Date,SP500,SPY,CAC40,AAPL,LVMH,TTE,GLD,TLT
2010-01-04,1132.98999,84.578484,4013.969971,6.40096,57.058968,17.463852,109.800003,55.07082
2010-01-05,1136.52002,84.802368,4012.909912,6.412028,56.790733,17.484823,109.699997,55.426453
2010-01-06,1137.140015,84.862091,4017.669922,6.310036,57.341724,17.496267,111.510002,54.684521
2010-01-07,1141.689941,85.220329,4024.800049,6.29837,57.99424,17.526775,110.82,54.776501
2010-01-08,1144.97998,85.503914,4045.139893,6.340244,58.777264,17.545841,111.370003,54.751984
2010-01-11,1146.97998,85.623314,4043.090088,6.284314,59.234043,17.641184,112.849998,54.451523
2010-01-12,1136.219971,84.824791,4000.050049,6.212827,57.530216,17.408556,110.489998,55.383572
2010-01-13,1145.680054,85.541252,4000.860107,6.300463,57.965252,17.219786,111.540001,54.739681
2010-01-14,1148.459961,85.772568,4015.77002,6.263973,58.044991,17.111109,112.029999,55.506203
2010-01-15,1136.030029,84.80986,3954.379883,6.15929,57.573727,16.704973,110.860001,55.849571
2010-01-19,1150.22998,85.86956,4009.669922,6.431768,59.524036,17.183565,111.519997,55.690144
2010-01-20,1138.040039,84.996407,3928.949951,6.332766,57.921738,16.928059,108.940002,56.25428
2010-01-21,1116.47998,83.362022,3862.159912,6.223296,56.870464,16.722128,107.370003,56.511799
2010-01-22,1091.76001,81.503716,3820.780029,5.914629,56.384689,16.476156,107.169998,56.413696
2010-01-25,1096.780029,81.921654,3781.850098,6.07375,56.406471,16.298836,107.480003,56.156185
2010-01-26,1092.170044,81.578323,3807.040039,6.159589,57.595482,16.354122,107.559998,56.17458
2010-01-27,1097.5,81.966415,3759.800049,6.217615,57.319981,16.134848,106.529999,56.143864
2010-01-28,1084.530029,81.0261,3688.790039,5.96069,56.631218,15.71728,106.480003,56.113232
2010-01-29,1073.869995,80.14547,3739.459961,5.744444,57.327221,16.035702,105.959999,56.603825
2010-02-01,1089.189941,81.391808,3762.01001,5.824303,57.515743,16.090996,108.349998,56.089993
2010-02-02,1103.319946,82.376877,3812.129883,5.858102,58.799023,16.18824,109.129997,56.249966
2010-02-03,1097.280029,81.966415,3793.469971,5.958896,59.052769,16.146292,108.699997,55.597668
2010-02-04,1063.109985,79.436462,3689.25,5.744147,56.522457,15.852663,104.370003,56.477665
2010-02-05,1066.189941,79.600601,3563.76001,5.846136,54.282143,15.303513,104.68,56.600708
2010-02-08,1056.73999,79.025986,3607.27002,5.806058,55.268173,15.593337,104.040001,56.674557
2010-02-09,1070.52002,80.018585,3612.76001,5.86797,55.862694,15.456054,105.410004,56.108406
2010-02-10,1068.130005,79.861877,3635.610107,5.835967,56.420959,15.604779,105.120003,55.573067
2010-02-11,1078.469971,80.697701,3616.75,5.942146,56.246956,15.843117,107.129997,55.271526
2010-02-12,1075.51001,80.630516,3599.070068,5.993292,55.405918,15.873636,107.040001,55.499256
2010-02-16,1094.869995,81.899261,3669.040039,6.083619,56.188942,16.211117,109.620003,55.603821
2010-02-17,1099.51001,82.287338,3725.209961,6.058196,57.051727,16.256882,109.25,54.970009
2010-02-18,1106.75,82.77243,3747.830078,6.069561,57.711472,16.397984,109.980003,54.748497
2010-02-19,1109.170044,82.944077,3769.540039,6.031876,57.675228,16.394169,109.470001,55.043873
2010-02-22,1108.01001,82.958992,3756.699951,5.994488,58.059521,16.274046,109.07,54.816185
2010-02-23,1094.599976,81.951469,3707.060059,5.893991,57.27647,16.009008,107.889999,55.671551
2010-02-24,1105.23999,82.705261,3715.679932,6.001669,57.058968,15.938452,107.360001,55.806923
2010-02-25,1102.939941,82.5933,3640.77002,6.041745,55.652435,15.423637,108.309998,56.120789
2010-02-26,1104.48999,82.645569,3708.800049,6.120108,57.711472,15.627666,109.43,56.409969
2010-03-01,1115.709961,83.503784,3769.540039,6.250813,59.263023,15.77257,109.43,56.385235
2010-03-02,1118.310059,83.735176,3811.919922,6.246625,60.26355,15.867907,111.019997,56.311195
2010-03-03,1118.790039,83.809784,3842.52002,6.260982,61.213329,15.925105,111.629997,56.169193
2010-03-04,1122.969971,84.06353,3828.409912,6.302258,60.908825,15.845033,110.830002,56.465515
2010-03-05,1138.699951,85.265099,3910.419922,6.548713,63.054867,16.172989,110.809998,55.724754
2010-03-08,1138.5,85.280022,3903.540039,6.552601,62.279091,16.115784,109.879997,55.434589
2010-03-09,1140.449951,85.421822,3910.01001,6.670447,62.126846,16.216846,109.720001,55.446938
2010-03-10,1145.609985,85.802414,3943.550049,6.724882,62.656124,16.371294,108.470001,55.304981
2010-03-11,1150.23999,86.160652,3928.949951,6.744621,62.177605,16.369381,108.599998,55.508694
2010-03-12,1149.98999,86.168083,3927.399902,6.777524,62.648861,16.283581,107.949997,55.854385
2010-03-15,1150.51001,86.190483,3890.909912,6.694973,62.119606,16.150106,108.360001,55.780289
2010-03-16,1159.459961,86.877098,3938.949951,6.713217,62.88813,16.251163,110.400002,56.224773
2010-03-17,1166.209961,87.392029,3957.889893,6.703346,62.351608,16.323622,109.589996,56.465515
2010-03-18,1165.829956,87.347267,3938.179932,6.719198,63.207123,16.230192,110.339996,56.2803
2010-03-19,1159.900024,86.905113,3925.439941,6.647417,62.801121,16.146292,108.279999,56.335876
2010-03-22,1165.810059,87.369743,3928.0,6.72219,62.938885,16.16345,107.75,56.397583
2010-03-23,1174.170044,87.98423,3952.550049,6.830162,63.468151,16.203495,108.32,56.132198
2010-03-24,1167.719971,87.557091,3949.810059,6.860373,63.156364,16.18252,106.300003,55.107414
2010-03-25,1165.72998,87.414734,4000.47998,6.779019,63.446407,16.274046,106.779999,54.755577
2010-03-26,1166.589966,87.362267,3988.929932,6.906134,63.221638,16.306467,108.589996,54.90992
2010-03-29,1173.219971,87.916801,4000.659912,6.9507,63.511623,16.28548,108.75,54.700005
2010-03-30,1173.27002,87.976738,3987.409912,7.054187,62.996876,16.352226,107.970001,54.872849
2010-03-31,1169.430054,87.67701,3974.01001,7.028762,62.743107,16.390358,108.949997,55.249424
2010-04-01,1178.099976,88.276474,4034.22998,7.057774,64.236656,16.64205,110.260002,55.114361
2010-04-06,1189.439941,89.205727,4053.939941,7.164552,64.048157,16.924242,111.029999,54.284069
2010-04-07,1182.449951,88.696106,4026.969971,7.196258,62.699593,16.745014,112.489998,54.978062
2010-04-08,1186.439941,89.003387,3978.459961,7.176815,61.590324,16.622978,112.650002,55.002808
2010-04-09,1194.369995,89.587883,4050.540039,7.231852,64.084389,16.920427,113.639999,55.132938
2010-04-12,1196.47998,89.730263,4050.5,7.246804,64.345428,16.771708,113.010002,55.424145
2010-04-13,1197.300049,89.797722,4031.98999,7.25099,65.287926,16.586744,112.690002,55.603786
2010-04-14,1210.650024,90.816887,4057.699951,7.348498,65.534447,16.590567,113.029999,55.213451
2010-04-15,1211.670044,90.891815,4065.649902,7.445105,65.628677,16.676367,113.650002,55.275444
2010-04-16,1192.130005,89.445511,3986.629883,7.399642,63.46088,16.392267,111.239998,55.678177
2010-04-19,1197.52002,89.782791,3970.469971,7.389772,62.873627,16.350307,111.150002,55.541855
2010-04-20,1207.170044,90.584557,4026.649902,7.315598,63.924896,16.680182,111.459999,55.740162
2010-04-21,1205.939941,90.419716,3977.669922,7.753175,63.511623,16.460907,112.309998,56.198616
2010-04-22,1208.670044,90.689468,3924.649902,7.970021,63.199871,16.178709,111.839996,56.031391
2010-04-23,1217.280029,91.281471,3951.300049,8.100428,64.50489,16.249252,113.190002,55.833088
2010-04-26,1212.050049,90.936737,3997.389893,8.060643,65.519928,16.275953,112.75,55.895054
2010-04-27,1183.709961,88.786095,3844.600098,7.837519,62.569118,15.846933,114.629997,56.681973
2010-04-28,1191.359985,89.46051,3787.0,7.82436,61.684586,15.730626,114.309998,56.198616
2010-04-29,1206.780029,90.56958,3840.620117,8.034923,63.025867,16.031883,114.279999,56.434116
2010-04-30,1186.689941,89.033371,3816.98999,7.809107,62.960636,15.623847,115.360001,57.08469
2010-05-03,1202.26001,90.187408,3828.459961,7.966431,63.279625,15.696304,115.730003,57.010067
2010-05-04,1173.599976,88.066666,3689.290039,7.737022,61.053818,15.070894,114.870003,58.035988
2010-05-05,1165.869995,87.542099,3636.030029,7.656568,60.908825,15.051826,115.089996,58.378002
2010-05-06,1128.150024,84.634521,3556.110107,7.365247,60.655067,14.756275,118.489998,60.181122
2010-05-07,1110.880005,83.375603,3392.590088,7.054485,57.646229,14.756275,118.269997,59.428791
2010-05-10,1159.72998,87.047523,3720.290039,7.596747,63.46088,15.341645,117.57,58.197651
2010-05-11,1155.790039,86.800194,3693.199951,7.67242,63.968407,15.229152,120.660004,58.04845
2010-05-12,1171.670044,88.014206,3733.870117,7.839015,66.099953,15.286351,121.400002,57.606983
2010-05-13,1157.439941,86.92009,3731.540039,7.727452,66.447983,15.292069,120.559998,57.986237
2010-05-14,1135.680054,85.346413,3560.360107,7.591664,63.845139,14.653312,120.370003,58.993549
2010-05-17,1136.939941,85.391365,3543.550049,7.603629,63.141884,14.685728,119.360001,58.775898
2010-05-18,1120.800049,84.229858,3617.320068,7.547995,64.446915,14.986995,119.489998,59.677525
2010-05-19,1115.050049,83.750267,3511.669922,7.427755,62.467628,14.624711,116.629997,59.876431
2010-05-20,1071.589966,80.587898,3432.52002,7.111316,61.400223,14.382555,115.839996,61.138638
2010-05-21,1087.689941,81.764435,3430.73999,7.247701,61.643131,14.3387,115.220001,61.200821
2010-05-24,1073.650024,80.715256,3430.929932,7.380497,60.988003,14.31582,116.839996,60.989384
2010-05-25,1074.030029,80.797729,3331.290039,7.334435,59.802845,14.128962,117.360001,61.287872
2010-05-26,1067.949951,80.3106,3408.590088,7.301239,61.893417,14.336799,118.470001,61.113762
2010-05-27,1103.060059,83.000908,3525.310059,7.577604,63.94722,15.066312,118.690002,59.727219
2010-05-28,1089.410034,81.959236,3515.060059,7.683185,63.247902,14.997494,118.879997,60.000847
2010-06-01,1070.709961,80.580406,3503.080078,7.801327,63.836803,14.926707,119.910004,60.42255
2010-06-02,1098.380005,82.678642,3501.5,7.894648,64.322647,14.891318,119.779999,59.848557
2010-06-03,1102.829956,82.963417,3557.340088,7.869822,65.581413,15.34947,117.959999,59.411873
